
 
					TH				PH
				---------------------------	---------------------------
THETA      	PHI        	P.REAL     	P.IMAG     	P.REAL     	P.IMAG     
-----------	-----------	-----------	-----------	-----------	-----------
-170.000000	70.000000	-0.002297	-0.005010	-0.000100	-0.000535
-170.000000	75.000000	-0.002535	-0.004819	 0.000080	-0.000596
-170.000000	80.000000	-0.002720	-0.004487	 0.000269	-0.000589
-170.000000	85.000000	-0.002882	-0.004038	 0.000401	-0.000481
-170.000000	90.000000	-0.003031	-0.003493	 0.000434	-0.000275
-170.000000	95.000000	-0.003158	-0.002868	 0.000384	-0.000000
-170.000000	100.000000	-0.003247	-0.002177	 0.000322	 0.000311
-170.000000	105.000000	-0.003298	-0.001439	 0.000351	 0.000631
-170.000000	110.000000	-0.003336	-0.000683	 0.000554	 0.000947
-170.000000	115.000000	-0.003405	 0.000056	 0.000951	 0.001256
-170.000000	120.000000	-0.003543	 0.000745	 0.001482	 0.001567
-170.000000	125.000000	-0.003768	 0.001362	 0.002028	 0.001900
-170.000000	130.000000	-0.004058	 0.001895	 0.002450	 0.002287
-170.000000	135.000000	-0.004362	 0.002340	 0.002647	 0.002759
-170.000000	140.000000	-0.004614	 0.002686	 0.002588	 0.003336
-170.000000	145.000000	-0.004756	 0.002913	 0.002317	 0.004009
-170.000000	150.000000	-0.004752	 0.002997	 0.001929	 0.004731
-170.000000	155.000000	-0.004594	 0.002926	 0.001531	 0.005420
-170.000000	160.000000	-0.004291	 0.002718	 0.001206	 0.005972
-170.000000	165.000000	-0.003857	 0.002428	 0.000993	 0.006297
-170.000000	170.000000	-0.003301	 0.002142	 0.000894	 0.006340
-170.000000	175.000000	-0.002641	 0.001952	 0.000893	 0.006108
-170.000000	180.000000	 0.001911	-0.001933	-0.000968	-0.005658
-165.000000	 0.000000	-0.005486	-0.002738	-0.000968	-0.002510
-165.000000	 5.000000	-0.005165	-0.003636	-0.001139	-0.002057
-165.000000	10.000000	-0.005862	-0.004544	-0.001326	-0.001755
-165.000000	15.000000	-0.007059	-0.005193	-0.001789	-0.001629
-165.000000	20.000000	-0.007953	-0.005398	-0.002614	-0.001588
-165.000000	25.000000	-0.007904	-0.005144	-0.003625	-0.001443
-165.000000	30.000000	-0.006806	-0.004577	-0.004473	-0.000994
-165.000000	35.000000	-0.005139	-0.003934	-0.004870	-0.000143
-165.000000	40.000000	-0.003696	-0.003444	-0.004777	 0.001017
-165.000000	45.000000	-0.003141	-0.003232	-0.004439	 0.002215
-165.000000	50.000000	-0.003658	-0.003272	-0.004208	 0.003125
-165.000000	55.000000	-0.004888	-0.003407	-0.004297	 0.003542
-165.000000	60.000000	-0.006164	-0.003453	-0.004635	 0.003501
-165.000000	65.000000	-0.006874	-0.003325	-0.004931	 0.003256
-165.000000	70.000000	-0.006746	-0.003100	-0.004898	 0.003119
-165.000000	75.000000	-0.005890	-0.002960	-0.004467	 0.003275
-165.000000	80.000000	-0.004647	-0.003049	-0.003839	 0.003703
-165.000000	85.000000	-0.003356	-0.003362	-0.003366	 0.004227
-165.000000	90.000000	-0.002191	-0.003730	-0.003321	 0.004657
-165.000000	95.000000	-0.001150	-0.003908	-0.003720	 0.004892
-165.000000	100.000000	-0.000156	-0.003708	-0.004300	 0.004948
-165.000000	105.000000	 0.000832	-0.003091	-0.004656	 0.004913
-165.000000	110.000000	 0.001792	-0.002187	-0.004475	 0.004874
-165.000000	115.000000	 0.002699	-0.001233	-0.003705	 0.004868
-165.000000	120.000000	 0.003596	-0.000476	-0.002573	 0.004871
-165.000000	125.000000	 0.004586	-0.000065	-0.001445	 0.004831
-165.000000	130.000000	 0.005735	 0.000007	-0.000646	 0.004713
-165.000000	135.000000	 0.006994	-0.000111	-0.000331	 0.004524
-165.000000	140.000000	 0.008218	-0.000207	-0.000443	 0.004308
-165.000000	145.000000	 0.009241	-0.000098	-0.000764	 0.004111
-165.000000	150.000000	 0.009942	 0.000293	-0.001008	 0.003960
-165.000000	155.000000	 0.010243	 0.000931	-0.000956	 0.003843
-165.000000	160.000000	 0.010106	 0.001725	-0.000573	 0.003730
-165.000000	165.000000	 0.009566	 0.002596	-0.000019	 0.003596
-165.000000	170.000000	 0.008806	 0.003515	 0.000465	 0.003448
-165.000000	175.000000	 0.008143	 0.004471	 0.000733	 0.003319
-165.000000	180.000000	-0.007897	-0.005409	-0.000849	-0.003246
-160.000000	 0.000000	 0.000786	-0.002994	-0.001773	-0.005252
-160.000000	 5.000000	 0.000211	-0.003526	-0.000811	-0.005260
-160.000000	10.000000	-0.001876	-0.003755	-0.000038	-0.004573
-160.000000	15.000000	-0.004523	-0.003389	 0.000195	-0.003454
-160.000000	20.000000	-0.006520	-0.002701	-0.000136	-0.002348
-160.000000	25.000000	-0.007246	-0.002407	-0.000659	-0.001761
-160.000000	30.000000	-0.006922	-0.002920	-0.000840	-0.001965
-160.000000	35.000000	-0.006227	-0.003901	-0.000352	-0.002702
-160.000000	40.000000	-0.005761	-0.004651	 0.000675	-0.003312
-160.000000	45.000000	-0.005735	-0.004788	 0.001704	-0.003288
-160.000000	50.000000	-0.005949	-0.004428	 0.002158	-0.002711
-160.000000	55.000000	-0.005964	-0.003814	 0.001904	-0.002080
-160.000000	60.000000	-0.005422	-0.003014	 0.001387	-0.001736
-160.000000	65.000000	-0.004303	-0.002052	 0.001243	-0.001526
-160.000000	70.000000	-0.002933	-0.001154	 0.001741	-0.001060
-160.000000	75.000000	-0.001772	-0.000656	 0.002640	-0.000203
-160.000000	80.000000	-0.001207	-0.000659	 0.003529	 0.000781
-160.000000	85.000000	-0.001441	-0.000885	 0.004171	 0.001529
-160.000000	90.000000	-0.002375	-0.000920	 0.004513	 0.001931
-160.000000	95.000000	-0.003549	-0.000571	 0.004547	 0.002166
-160.000000	100.000000	-0.004369	 0.000035	 0.004328	 0.002490
-160.000000	105.000000	-0.004586	 0.000613	 0.004055	 0.003026
-160.000000	110.000000	-0.004531	 0.000945	 0.003951	 0.003707
-160.000000	115.000000	-0.004711	 0.001013	 0.004010	 0.004334
-160.000000	120.000000	-0.005145	 0.000996	 0.004007	 0.004713
-160.000000	125.000000	-0.005286	 0.001140	 0.003809	 0.004805
-160.000000	130.000000	-0.004716	 0.001577	 0.003588	 0.004796
-160.000000	135.000000	-0.003786	 0.002226	 0.003615	 0.004962
-160.000000	140.000000	-0.003345	 0.002873	 0.003895	 0.005413
-160.000000	145.000000	-0.003807	 0.003367	 0.004134	 0.005944
-160.000000	150.000000	-0.004656	 0.003715	 0.004069	 0.006195
-160.000000	155.000000	-0.004989	 0.003991	 0.003725	 0.005967
-160.000000	160.000000	-0.004463	 0.004181	 0.003273	 0.005379
-160.000000	165.000000	-0.003589	 0.004194	 0.002748	 0.004742
-160.000000	170.000000	-0.003132	 0.004040	 0.002043	 0.004302
-160.000000	175.000000	-0.003369	 0.003922	 0.001181	 0.004115
-160.000000	180.000000	 0.003946	-0.004068	-0.000464	-0.004099
-155.000000	 0.000000	-0.004942	-0.006296	-0.001438	-0.004921
-155.000000	 5.000000	-0.004790	-0.008810	-0.001149	-0.004705
-155.000000	10.000000	-0.006375	-0.012141	-0.001079	-0.004164
-155.000000	15.000000	-0.007810	-0.012811	-0.001677	-0.002953
-155.000000	20.000000	-0.007437	-0.010475	-0.002773	-0.001068
-155.000000	25.000000	-0.005652	-0.007955	-0.003634	 0.000475
-155.000000	30.000000	-0.004215	-0.007541	-0.003759	 0.000546
-155.000000	35.000000	-0.004023	-0.008647	-0.003219	-0.000597
-155.000000	40.000000	-0.004428	-0.009308	-0.002356	-0.001326
-155.000000	45.000000	-0.004558	-0.008794	-0.001664	-0.000361
-155.000000	50.000000	-0.004394	-0.007897	-0.001707	 0.001754
-155.000000	55.000000	-0.004445	-0.007193	-0.002470	 0.003159
-155.000000	60.000000	-0.005071	-0.006120	-0.002954	 0.002632
-155.000000	65.000000	-0.006202	-0.004062	-0.002183	 0.000849
-155.000000	70.000000	-0.007207	-0.001652	-0.000600	-0.000401
-155.000000	75.000000	-0.007085	-0.000295	 0.000269	-0.000045
-155.000000	80.000000	-0.005396	-0.000598	-0.000326	 0.001524
-155.000000	85.000000	-0.003109	-0.001829	-0.001461	 0.003293
-155.000000	90.000000	-0.001984	-0.002850	-0.001812	 0.004618
-155.000000	95.000000	-0.002756	-0.003050	-0.001298	 0.005333
-155.000000	100.000000	-0.004200	-0.002412	-0.000949	 0.005490
-155.000000	105.000000	-0.004447	-0.001302	-0.001398	 0.005352
-155.000000	110.000000	-0.003152	-0.000381	-0.002196	 0.005362
-155.000000	115.000000	-0.001812	-0.000244	-0.002643	 0.005775
-155.000000	120.000000	-0.001708	-0.000807	-0.002634	 0.006344
